id,created_at,updated_at,user_id,rating,feedback,length
d0a64192-6d00-4803-b00b-ba98acc091c0,2023-09-14 13:10:37.792 +1000,2023-09-14 13:10:37.792 +1000,fb9c4498-cfc1-4342-8cb1-4cf026f59a72,4,"I like the morning routines and breaks.
Recommendations: Allow me to initiate a break at any time, have a public activity library that beginner users can easily choose activities from. with categories like meditation, home workouts, deep breathing techniques etc.",263
6ec207ea-d7f3-49bb-98c8-0c724fda3ee7,2023-09-14 15:24:24.659 +1000,2023-09-14 15:24:24.659 +1000,9775fdd6-aa94-40f2-953d-6228a71c1fe5,5,"as someone with bipolar, routines are very important to keeping the symptoms at bay. while i have not used the app for long, I am liking the morning routine feature and the end of day routine the best. at times I forgot what I set out to do because as a bipolar my mood and energy dictates my day. But the routine helps me anchor and get started, regardless of how I feel that day. 

The micro breaks help with hyperfocus too as a bipolar I also have a tendency to ignore my basic needs due to manic or hypomanic episodes. So the routines and the breaks help me take care of my basic needs so my symptoms don't fluctuate as much. Right now, the app keeps reminding me to take a break, and most times I ignore it LOL. but today, when the notification says I have a few seconds left and I can postpone my break in 5 minutes, my brain knows to stop within 5 minutes and therefore I feel like i have to work faster and meet the deadline. 

I also like that I can save the link of the routines. Although I have not done it at this point, I think as a bipolar it will help in guided meditations, workouts, devotionals, motivational videos, etc. I am planning on adding my favorite youtube links here. 

As I use the app, I'm excited to see how it will enhance my work-life balance. I am thinking of spreading this app to my bipolar community once I become more familiar with the features. 
",1384
93cd52f0-dcc1-4084-8293-4042bb4353e9,2023-09-15 14:26:06.130 +1000,2023-09-15 14:26:06.130 +1000,373512c1-70d7-4995-b589-9e07909d009a,5,the routines,12
4f09aefc-99f8-42eb-bbd0-6c6604b92724,2023-09-16 15:38:03.598 +1000,2023-09-16 15:38:03.598 +1000,f38d9bd1-d9cd-4078-9bc5-dab660d7ee25,5,It helps me to be consistent in my daily routines,49
ca9f5432-04ee-4c82-8c1c-c744b36825ec,2023-09-19 03:55:05.583 +1000,2023-09-19 03:55:05.583 +1000,1292e83b-7665-4f74-b1d5-c60d4947c56b,3.5,"It really helps me build habits and focus on work-block distractions. I just don't like when it duplicate a habit or routine when I already completed it. And also it's very annoying that recently it's been having issues syncing with stats, it still doesn't show my focus modes.",277
b696a339-8739-4524-b84d-5e02ec297913,2023-09-26 19:18:37.070 +1000,2023-09-26 19:18:37.070 +1000,6cc879f1-730e-405f-866f-cdfc80883073,4,I don’t like some of the forced nature of the focus block stops or breaks…I’m often in a flow and want to just continue on…I LOVE the dynamic and ai site and app blocking - its amazing and by far and away the best app that does this that I have used!!!  Thats mainly why I keep using it to be honest.,308
043652d4-f677-46f4-b638-c8924e19ead3,2023-09-27 04:03:21.717 +1000,2023-09-27 04:03:21.717 +1000,d58a54a9-e1ff-4142-b2e5-e7a8c2fed14d,5,It was good and navigating through out more. ,45
5344568e-18fe-4d0d-9f8e-713698321a56,2023-09-27 06:44:45.705 +1000,2023-09-27 06:44:45.705 +1000,3ac9e178-e919-4f9c-865f-cdc38e651bb7,3,"can’t find off button when taking a call
",43
fd993713-840b-4737-a150-df4428b35dec,2023-09-27 18:13:41.488 +1000,2023-09-27 18:13:41.488 +1000,5d4b379a-dbd7-4cc5-8252-c8fa3ce5fe22,5,Some basic features can be more reliable,40
510bde49-d932-4bbb-9d64-dbf1bc6d6749,2023-09-28 09:19:40.191 +1000,2023-09-28 09:19:40.191 +1000,4cc8e0f7-969a-430a-a880-969103b320bb,5,Increases my productivity by getting me to question if the extra tab that I'm going into is 100% needed for my work goal or not. Often it seems like it is but it isn't. ,169
